Date	Open	High	Low	Close	Adj Close	Volume	Location	Index	Open/Close Difference	High/Low Difference
3/27/20	$7,554	$7,716.24	$7,491.14	$7,502.38	$7,502.379883	3977010000	USA	NASDAQ	$51.87	$225.10
3/30/20	$7,583	$7,784.35	$7,539.97	$7,774.15	$7,774.149902	3846900000	USA	NASDAQ	($190.69)	$244.38
3/31/20	$7,740	$7,880.31	$7,642.86	$7,700.10	$7,700.100098	4059700000	USA	NASDAQ	$39.96	$237.45
4/1/20	$7,460	$7,566.37	$7,301.98	$7,360.58	$7,360.580078	3685510000	USA	NASDAQ	$98.92	$264.39
4/2/20	$7,317	$7,501.70	$7,307.95	$7,487.31	$7,487.310059	3608190000	USA	NASDAQ	($169.86)	$193.75
4/3/20	$7,477	$7,518.72	$7,288.11	$7,373.08	$7,373.080078	3279100000	USA	NASDAQ	$104.19	$230.61
4/6/20	$7,660	$7,938.33	$7,617.79	$7,913.24	$7,913.240234	3849100000	USA	NASDAQ	($253.07)	$320.54
4/7/20	$8,130	$8,146.43	$7,881.22	$7,887.26	$7,887.259766	4069410000	USA	NASDAQ	$242.73	$265.21
4/8/20	$7,976	$8,114.43	$7,901.94	$8,090.90	$8,090.899902	3470730000	USA	NASDAQ	($115.18)	$212.49
4/9/20	$8,169	$8,227.91	$8,072.32	$8,153.58	$8,153.580078	4123670000	USA	NASDAQ	$15.43	$155.59
4/13/20	$8,128	$8,200.44	$8,035.95	$8,192.42	$8,192.419922	3146860000	USA	NASDAQ	($64.73)	$164.49
4/14/20	$8,353	$8,531.11	$8,338.08	$8,515.74	$8,515.740234	3732820000	USA	NASDAQ	($162.53)	$193.03
1/2/20	$3,245	$3,258.14	$3,235.53	$3,257.85	$3,257.850098	3458250000	USA	S&P500	($13.18)	$22.61
1/3/20	$3,226	$3,246.15	$3,222.34	$3,234.85	$3,234.850098	3461290000	USA	S&P500	($8.49)	$23.81
1/6/20	$3,218	$3,246.84	$3,214.64	$3,246.28	$3,246.280029	3674070000	USA	S&P500	($28.73)	$32.20
1/7/20	$3,242	$3,244.91	$3,232.43	$3,237.18	$3,237.179932	3420380000	USA	S&P500	$4.68	$12.48
1/8/20	$3,239	$3,267.07	$3,236.67	$3,253.05	$3,253.050049	3720890000	USA	S&P500	($14.46)	$30.40
1/9/20	$3,266	$3,275.58	$3,263.67	$3,274.70	$3,274.699951	3638390000	USA	S&P500	($8.67)	$11.91
1/10/20	$3,282	$3,282.99	$3,260.86	$3,265.35	$3,265.350098	3212970000	USA	S&P500	$16.46	$22.13
1/13/20	$3,271	$3,288.13	$3,268.43	$3,288.13	$3,288.129883	3456380000	USA	S&P500	($17.00)	$19.70
1/14/20	$3,285	$3,294.25	$3,277.19	$3,283.15	$3,283.149902	3665130000	USA	S&P500	$2.20	$17.06
1/15/20	$3,282	$3,298.66	$3,280.69	$3,289.29	$3,289.290039	3716840000	USA	S&P500	($7.02)	$17.97
1/16/20	$3,303	$3,317.11	$3,302.82	$3,316.81	$3,316.810059	3535080000	USA	S&P500	($13.84)	$14.29
1/17/20	$3,324	$3,329.88	$3,318.86	$3,329.62	$3,329.620117	3698170000	USA	S&P500	($5.96)	$11.02
1/21/20	$3,321	$3,329.79	$3,316.61	$3,320.79	$3,320.790039	4105340000	USA	S&P500	$0.24	$13.18
1/22/20	$3,330	$3,337.77	$3,320.04	$3,321.75	$3,321.75	3619850000	USA	S&P500	$8.27	$17.73
1/23/20	$3,316	$3,326.88	$3,301.87	$3,325.54	$3,325.540039	3764860000	USA	S&P500	($9.77)	$25.01
1/24/20	$3,333	$3,333.18	$3,281.53	$3,295.47	$3,295.469971	3707130000	USA	S&P500	$37.63	$51.65
1/27/20	$3,247	$3,258.85	$3,234.50	$3,243.63	$3,243.629883	3823100000	USA	S&P500	$3.53	$24.35
1/28/20	$3,255	$3,285.78	$3,253.22	$3,276.24	$3,276.23999	3526720000	USA	S&P500	($20.89)	$32.56
1/29/20	$3,289	$3,293.47	$3,271.89	$3,273.40	$3,273.399902	3584500000	USA	S&P500	$16.06	$21.58
